Ticker,Revenue,Operating_Margin,Net_Margin,ROE,Total_Debt,Total_Cash,EBITDA,Interest_Expense
AXP,65294000128,0.22052999,0.16143999,0.33935001,60060000256.0,53553000448.0,,8252000000.0
AIG,27120001024,0.15235,0.120170005,0.07688,9242999808.0,11002999808.0,8314999808.0,462000000.0
AMT,10454700032,0.45477,0.28106,0.28839,45011197952.0,1950700032.0,6728300032.0,1404500000.0
AWK,5070000128,0.42591,0.21933001,0.10457,15377000448.0,245000000.0,2760999936.0,523000000.0
AMP,18513000448,0.37298,0.19586,0.59589,3500000000.0,9731999744.0,,329000000.0
AME,7164270080,0.25787002,0.20502001,0.14632,2746409984.0,439236992.0,2267057920.0,112962000.0
AMGN,35970998272,0.34153,0.19474001,0.8171,54586998784.0,9445000192.0,16481000448.0,3155000000.0
APH,20973500416,0.27481002,0.18218,0.34807998,8067100160.0,3888100096.0,6062700032.0,217000000.0
ADI,10386794496,0.28551,0.18847999,0.05652,8706007040.0,3469286912.0,4646811136.0,322227000.0
AON,17027999744,0.20365,0.15962,0.3769,17617999872.0,1166000000.0,5432000000.0,788000000.0
APA,9376000000,0.27281,0.16093999,0.27427998,4591000064.0,475000000.0,5831000064.0,373000000.0
APO,27217000448,0.29920998,0.15777001,0.16549,37646999552.0,35970998272.0,,339000000.0
AAPL,416161005568,0.31647,0.26915002,1.7142199,112377004032.0,54697000960.0,144748003328.0,
AMAT,28367998976,0.27838,0.24669,0.35508,6554999808.0,8573000192.0,8904999936.0,
APTV,20152000512,0.114350006,0.01464,0.03294,8169999872.0,1640000000.0,3207000064.0,337000000.0
ACGL,19542999040,0.30691,0.20959,0.17811,2728000000.0,3475000064.0,5011999744.0,141000000.0
ADM,83211001856,0.01949,0.01429,0.05242,9207000064.0,1235000064.0,2519000064.0,706000000.0
ANET,8448346112,0.42378,0.3973,0.31736,0.0,10106200064.0,3671173888.0,
AJG,12078600192,0.17212,0.13257,0.090670004,13704800256.0,1400800000.0,3440999936.0,381300000.0
AIZ,12568699904,0.11153,0.06753,0.15413,2206400000.0,2058300032.0,1410700032.0,107000000.0
T,124479995904,0.2158,0.17870001,0.19139999,160167002112.0,20352000000.0,44331999232.0,6759000000.0
ATO,4702754816,0.30696,0.2549,0.09323,9303505920.0,202687008.0,2322277888.0,171678000.0
ADSK,6605000192,0.25865,0.15791,0.402,2734000128.0,2236000000.0,1648999936.0,
ADP,20903399424,0.25891,0.19788,0.70572996,9874100224.0,7696699904.0,6093100032.0,455900000.0
AZO,18938716160,0.19159001,0.13191,,12577215488.0,290464000.0,4223354880.0,486796000.0
AVB,3065607936,0.2928,0.38122,0.09754,8897918976.0,123313000.0,1868945024.0,226589000.0
AVY,8769999872,0.12687999,0.07932,0.30211002,3781100032.0,581699968.0,1436099968.0,117000000.0
AXON,2557957120,-0.00229,0.100509994,0.10028,2099134976.0,2444836096.0,71199000.0,7098000.0
BKR,27711000576,0.13524,0.104329996,0.1689,6056000000.0,2692999936.0,4697999872.0,198000000.0
BALL,12693999616,0.11542,0.05357,0.117469996,7546999808.0,570000000.0,1976000000.0,293000000.0
BAC,101445001216,0.35292998,0.29224002,0.09871,763981987840.0,775117012992.0,,90547000000.0
BAX,11022999552,0.10123,-0.030940002,-0.04658,9712000000.0,1726000000.0,2074000000.0,408000000.0
BDX,21839998976,0.14958,0.07683,0.06544,19181000704.0,649000000.0,5634999808.0,
BRK-B,372127989760,0.41103,0.18129,0.1017,127243001856.0,381673013248.0,103864000512.0,5200000000.0
BBY,41598001152,0.03867,0.0187,0.26722,4076000000.0,1619000064.0,2575000064.0,51000000.0
TECH,1216732032,0.1451,0.06409,0.038,394472992.0,144962000.0,318480992.0,8509000.0
BIIB,10065899520,0.30718002,0.1598,0.09307,6590099968.0,3960399872.0,3409299968.0,250300000.0
BLK,22884999168,0.3214,0.26638,0.120740004,15043000320.0,12597999616.0,9027000320.0,538000000.0
BX,12791218176,0.44629002,0.2117,0.26457,14086088704.0,2554532096.0,,443688000.0
XYZ,23973765120,0.06871,0.13081001,0.14692001,8101347840.0,8784812032.0,1669601024.0,
BK,19733999616,0.37402,0.26568002,0.121520005,76399001600.0,176476995584.0,,21295000000.0
BA,80756998144,-0.204,-0.12197,,55702999040.0,22275000320.0,-6153999872.0,2725000000.0
BKNG,26038999040,0.44904998,0.19371,,17757999104.0,16508999680.0,9818999808.0,1295000000.0
BSX,19349000192,0.20731,0.1443,0.12488,12044999680.0,1275000064.0,5071000064.0,305000000.0
BMY,48034000896,0.31566,0.12572,0.33777002,51041001472.0,16501999616.0,19217000448.0,1947000000.0
AVGO,59925999616,0.31765,0.31592,0.27083,40456998912.0,11105000448.0,32746000384.0,3953000000.0
BR,7055600128,0.118719995,0.13112001,0.38215,3480000000.0,291500000.0,1743699968.0,135800000.0
BRO,5350000128,0.24129,0.18691999,0.10695,8032999936.0,1190000000.0,1768000000.0,201000000.0
BF-B,3948000000,0.27165002,0.21378,0.22649,2700999936.0,471000000.0,1212999936.0,122000000.0
BLDR,15653056512,0.05805,0.03795,0.13555999,5081157120.0,296161984.0,1601420032.0,207724000.0
BG,60109000704,0.02194,0.02201,0.09758,17777999872.0,3163000064.0,2084000000.0,471000000.0
BXP,3425025024,0.28563,-0.058509998,-0.01883,17356404736.0,861265024.0,1903377024.0,645117000.0
CHRW,16504784896,0.05578,0.03636,0.34318,1502418048.0,136836992.0,871163008.0,89937000.0
CDNS,5212625920,0.35089,0.20354,0.21736,2479141888.0,2930040064.0,1882690944.0,75999000.0
CZR,11368999936,0.17881,-0.0212,-0.04259,25734000640.0,836000000.0,3467000064.0,2377000000.0
CPT,1578428032,0.15994,0.1705,0.059310004,3741827072.0,25931000.0,892785984.0,129815000.0
CPB,10252999680,0.13098,0.058709998,0.15636,7212000256.0,132000000.0,1890000000.0,345000000.0
COF,28885999616,0.38719,0.04899,0.01615,54504001536.0,56923000832.0,,14826000000.0
CAH,234309992448,0.01205,0.00681,,9031999488.0,4592999936.0,3544000000.0,215000000.0
KMX,28279818240,0.021440001,0.01843,0.084180005,19335686144.0,540374016.0,1127292032.0,871141000.0
CCL,26229999616,0.27867,0.10069,0.25733998,27860000768.0,1763000064.0,6976999936.0,1755000000.0
CARR,22058000384,0.09554,0.18052,0.0998,12339999744.0,1423000064.0,3649999872.0,580000000.0
CAT,64670998528,0.17746,0.14339,0.46283,41534001152.0,6632999936.0,13957999616.0,512000000.0
CBOE,4617800192,0.32846,0.21287,0.21621001,1594700032.0,1530899968.0,1496999936.0,51500000.0
CBRE,39324999680,0.04923,0.031229999,0.14091,9676000256.0,1668999936.0,2648999936.0,
CDW,22099099648,0.07774,0.04757,0.43007,6088600064.0,452900000.0,1955900032.0,214500000.0
COR,321332805632,0.011390001,0.00484,1.23751,7660772864.0,4356137984.0,4797896192.0,
CNC,167680000000,0.0054699997,-0.03155,-0.2186,17582999552.0,19236999168.0,3902000128.0,702000000.0
CNP,9114000384,0.2495,0.11367,0.09606,22303000576.0,638000000.0,3432000000.0,838000000.0
CF,6736000000,0.34117,0.20472,0.21967,3396000000.0,1838000000.0,3036999936.0,139000000.0
CRL,4023704064,0.15772,-0.020450002,-0.021879999,2631273984.0,207096992.0,886190976.0,126288000.0
SCHW,22914000896,0.49242002,0.35930002,0.17046,49280000000.0,83681001472.0,,6393000000.0
CHTR,55098998784,0.23858999,0.092939995,0.31327,97530003456.0,464000000.0,22094000128.0,5229000000.0
CVX,188687007744,0.098529994,0.06767,0.07316,41543999488.0,7727000064.0,37682999296.0,594000000.0
CMG,11787400192,0.16134001,0.13036,0.44958,4980116992.0,1421273984.0,2340452096.0,
CB,58842001408,0.25623,0.16442,0.1364,24088999936.0,6621000192.0,12673000448.0,741000000.0
CHD,6141000192,0.16057,0.12742,0.18594,2400999936.0,305300000.0,1330200064.0,95000000.0
CI,268077006848,0.04,0.02293,0.15538,34040000512.0,6908000256.0,11649999872.0,1435000000.0
CINF,12078000128,0.38272,0.17569,0.14529,883000000.0,1608999936.0,2812999936.0,53000000.0
CTAS,10556716032,0.22731,0.17538,0.42187,2675266048.0,138143008.0,2778882048.0,101108000.0
CSCO,57696002048,0.23638001,0.17902,0.22418,28088999936.0,15736000512.0,15671000064.0,1593000000.0
C,75383996416,0.30606002,0.19488001,0.06995,778541989888.0,962339012608.0,,89618000000.0
CFG,7442999808,0.32026002,0.22894,0.067140006,11393000448.0,13064999936.0,,4553000000.0
CLX,6770999808,0.08328,0.11682,4.43646,3078000128.0,166000000.0,1224999936.0,88000000.0
CME,6385200128,0.63386,0.58946997,0.13346,3769499904.0,2569999872.0,4494099968.0,160900000.0
CMS,8295000064,0.26174998,0.12622,0.11233,18072999936.0,362000000.0,2992000000.0,708000000.0
KO,47663001600,0.32373002,0.2734,0.42442,48161001472.0,15781000192.0,16307000320.0,1656000000.0
CTSH,20856999936,0.15993,0.10203,0.14501001,1170000000.0,2353999872.0,3777999872.0,54000000.0
COIN,7370428928,0.25254,0.43664002,0.26005,7780648960.0,9769669632.0,2399290112.0,80645000.0
CL,20096999424,0.2023,0.1447,2.93635,8418999808.0,1472000000.0,4812000256.0,292000000.0
CMCSA,123310997504,0.17735,0.18333,0.24186,99062996992.0,9324999680.0,38034001920.0,4134000000.0
CAG,11450500096,0.11688,0.07424,0.096540004,8279799808.0,698099968.0,1967299968.0,419200000.0
COP,61280002048,0.19543,0.14445,0.15421,23481999360.0,6256000000.0,25422000128.0,1108000000.0
ED,16593000448,0.25342,0.122700006,0.08839,26674999296.0,181000000.0,5948000256.0,1187000000.0
STZ,9624000512,0.36413,0.12705,0.15912,10544900096.0,72000000.0,3622599936.0,411400000.0
CEG,24841000960,0.16332,0.11026,0.19839,9036999680.0,3959000064.0,5948000256.0,506000000.0
COO,4045700096,0.16570999,0.1008,0.050100002,2478299904.0,124900000.0,1113100032.0,114300000.0
CPRT,4646958080,0.36672002,0.33408,0.18481001,103739000.0,4789069824.0,1955513984.0,
GLW,14915000320,0.14561,0.09159,0.12739,9185000448.0,1648000000.0,3392000000.0,329000000.0
CPAY,4314608128,0.44617,0.24365999,0.29097,8285751808.0,2021708032.0,2255620096.0,383043000.0
CTVA,17468999680,-0.10313,0.09187999,0.06705,4373000192.0,2585999872.0,3759000064.0,233000000.0
CSGP,3056499968,-0.061300002,0.00664,0.00252,1132000000.0,1935299968.0,157800000.0,
COST,275235012608,0.03878,0.02943,0.30686,9934999552.0,15283999744.0,12808999936.0,154000000.0
CTRA,6665999872,0.28043,0.24691999,0.118549995,4116999936.0,98000000.0,4407000064.0,118000000.0
CRWD,4341102080,-0.06381,-0.06841,-0.089209996,810528000.0,4972435968.0,-91371000.0,26311000.0
CCI,6419999744,0.49254,-0.71931,-2.06679,29575000064.0,57000000.0,3875000064.0,900000000.0
CSX,14122999808,0.35071,0.20548001,0.22589001,19811000320.0,618000000.0,6537999872.0,832000000.0
CMI,33581000704,0.12132,0.079450004,0.22767,8245000192.0,3159000064.0,5238000128.0,370000000.0
CVS,391689994240,0.022650002,0.0011999999,0.0057800002,81751998464.0,11232000000.0,14753000448.0,2958000000.0
DHR,24267999232,0.2075,0.14435,0.06843,18155999232.0,1528000000.0,7629000192.0,278000000.0
DRI,12364399616,0.09879,0.08898,0.50411,8050599936.0,211000000.0,1953600000.0,178500000.0
DDOG,3211691008,-0.00656,0.033239998,0.03519,1279316992.0,4140338944.0,6225000.0,7068000.0
DVA,13317964800,0.14832,0.05796,0.61618,12778330112.0,736483968.0,2668084992.0,470469000.0
DAY,1893299968,-0.25831,-0.07912,-0.05706,1226899968.0,627600000.0,111500000.0,40600000.0
DECK,5244322816,0.2282,0.19364001,0.43312,350672000.0,1414478976.0,1312071040.0,3517000.0
DE,44250001408,0.15094,0.11767,0.21399,67396001792.0,7225999872.0,8454000128.0,3348000000.0
DELL,101450997760,0.0664,0.04768,,29518000128.0,8144999936.0,10138999808.0,1414000000.0
DAL,62919999488,0.0992,0.07357,0.28514,22077999104.0,3791000064.0,8022000128.0,747000000.0
DVN,16554000384,0.24194999,0.16424999,0.18586999,8638000128.0,1228999936.0,7670000128.0,401000000.0
DXCM,4515899904,0.20053,0.15958999,0.30635,2575600128.0,3322099968.0,1022099968.0,19000000.0
FANG,14625999872,0.36628,0.28689,0.10901,16273000448.0,159000000.0,10597999616.0,288000000.0
DLR,5841035776,0.13333,0.23959999,0.05825,19803467776.0,3319920896.0,2662960896.0,452836000.0
DG,41651642368,0.0555,0.0286,0.15597999,17067933696.0,1284567040.0,3026481920.0,274320000.0
DLTR,18551099392,0.04879,-0.15799,0.20055,7342700032.0,666300032.0,2121900032.0,107500000.0
D,15813000192,0.34504002,0.16790001,0.09204,48958001152.0,971000000.0,7664999936.0,1887000000.0
DPZ,4848167936,0.18064,0.12159,,5299667968.0,295352000.0,989062016.0,195870000.0
DASH,12634999808,0.08009,0.0683,0.100430004,3256999936.0,4243000064.0,1021000000.0,
DOV,7923358208,0.1869,0.28370002,0.15883,3071008000.0,1552803968.0,1765272064.0,131171000.0
DOW,40912998400,0.01905,-0.02769,-0.05287,19625000960.0,5148000256.0,3505999872.0,811000000.0
DHI,34250399744,0.124680005,0.10468,0.14321,5965499904.0,2740900096.0,4614400000.0,
DTE,14821999616,0.18968001,0.093439996,0.11658,25295998976.0,34000000.0,3593999872.0,951000000.0
DUK,31235999744,0.27125,0.15972,0.09905,89646997504.0,688000000.0,15952000000.0,3384000000.0
DD,12842999808,0.17773001,-0.060110003,0.03217,9260000256.0,1955000064.0,3280000000.0,366000000.0
EMN,9024000000,0.09673,0.07746,0.12116,5214000128.0,489000000.0,1691000064.0,216000000.0
ETN,26633000960,0.19777,0.14741,0.20653,11267000320.0,565000000.0,6115999744.0,130000000.0
EBAY,10714000384,0.21418,0.20366,0.42430001,7133000192.0,3377999872.0,2739000064.0,259000000.0
ECL,15890400256,0.14715,0.12489,0.21869,7000000000.0,1402400000.0,3809100032.0,340300000.0
EIX,18087999488,0.32557,0.16315001,0.15765001,39437000704.0,364000000.0,7310000128.0,1869000000.0
EW,5883800064,0.27371,0.23249,0.13492,700300032.0,3841999872.0,1788400000.0,19800000.0
EA,7288000000,0.10875,0.121429995,0.13201,2199000064.0,1260000000.0,1567000064.0,58000000.0
ELV,194819997696,0.034649998,0.028399998,0.12569,32102000640.0,36216000512.0,8924000256.0,1185000000.0
EMR,18016000000,0.20721,0.12728,0.09363,13758999552.0,1544000000.0,5040000000.0,387000000.0
ENPH,1512376960,0.16433,0.12932,0.20305,1233623040.0,1477923968.0,281383008.0,8905000.0
ETR,12730047488,0.30055,0.1421,0.11188,30448152576.0,1516968960.0,5664671744.0,1150820000.0
EOG,22653999104,0.33223,0.24410999,0.18476999,8127000064.0,3529999872.0,11760000000.0,138000000.0
EPAM,5297859072,0.10682,0.070149995,0.10207,155216992.0,1239136000.0,695675008.0,
EQT,7708868096,0.34897,0.23097,0.08488,8217822208.0,235736000.0,5210795008.0,454825000.0
EFX,5943300096,0.19950001,0.1108,0.13066,4813100032.0,189000000.0,1856600064.0,229100000.0
EQIX,9075999744,0.21851999,0.118,0.077,20981999616.0,2076999936.0,3900000000.0,457000000.0
EQR,3078827008,0.28955,0.37583,0.10444,8740600832.0,93092000.0,1877712000.0,285735000.0
ERIE,4040325120,0.20115,0.16038,0.30444,54325000.0,600384000.0,814471232.0,0.0
ESS,1916711040,0.33777002,0.44167,0.15987,6714335232.0,67759000.0,1233804032.0,235529000.0
EL,14446000128,0.072680004,-0.064380005,-0.20727,9422000128.0,2219000064.0,2072000000.0,357000000.0
EG,17677000704,0.07728,0.031229999,0.03595,3588000000.0,5429000192.0,,149000000.0
EVRG,5878799872,0.36201,0.1445,0.08454,14718600192.0,27500000.0,2709499904.0,563100000.0
ES,13148535808,0.20278,0.102189995,0.0861,29836003328.0,259340000.0,4557479936.0,1111336000.0
EXC,24316999680,0.22177,0.116009995,0.10308,49928998912.0,1532999936.0,8031000064.0,1914000000.0
EXE,10778999808,0.29054,0.08043,0.061189998,5072999936.0,613000000.0,4529999872.0,130000000.0
EXPE,14369999872,0.25566998,0.096590005,0.53886,6489999872.0,6169999872.0,2179000064.0,246000000.0
EXPD,11167760384,0.0995,0.07571,0.36505002,560360000.0,1190167040.0,1160615040.0,
EXR,3421972992,0.46325,0.27735,0.06786,13663115264.0,117258000.0,2260354048.0,595074000.0
XOM,326244990976,0.11057,0.091809995,0.11424,42035998720.0,13813999616.0,61694001152.0,996000000.0
FFIV,3088071936,0.27146998,0.22421,0.20602,230748992.0,1344273024.0,884609024.0,
FDS,2321747968,0.29707,0.25715,0.29132,1558509056.0,355096000.0,905993984.0,56324000.0
FICO,1990868992,0.48099998,0.32747,,3091699968.0,134136000.0,950723968.0,133647000.0
FAST,7997599744,0.20696,0.15336001,0.32742,517300000.0,288100000.0,1795299968.0,7300000.0
FRT,1257395968,0.34465,0.27586,0.10516,4809176064.0,114133000.0,798544000.0,175476000.0
FDX,88590999552,0.0764,0.046529997,0.15004,,,11120000000.0,789000000.0
FIS,10464000000,0.2385,0.0146200005,0.011829999,13068000256.0,571000000.0,3124999936.0,351000000.0
FITB,8125000192,0.39780998,0.29674,0.115109995,20992000000.0,6003999744.0,,4796000000.0
FSLR,5050625024,0.29225,0.27728,0.16864,891915008.0,2039920000.0,2018718976.0,38870000.0
FE,14282999808,0.21263,0.09312,0.11192001,27470000128.0,1404000000.0,4477000192.0,1011000000.0
FI,21159999488,0.25385,0.17046,0.1354,30318999552.0,1068000000.0,9194000384.0,1238000000.0
F,189587996672,0.03146,0.024820002,0.10295,164381999104.0,32671000576.0,9708000256.0,1136000000.0
FTNT,6554699776,0.31648,0.28584,2.28043,1088800000.0,3123399936.0,2170700032.0,20000000.0
FTV,6260299776,0.15539,0.09621,0.103649996,3401900032.0,430800000.0,1680899968.0,152800000.0
FOXA,16474000384,0.26323998,0.12353,0.17272,7452000256.0,4368000000.0,3561999872.0,403000000.0
FOX,16474000384,0.26323998,0.12353,0.17272,7452000256.0,4368000000.0,3561999872.0,403000000.0
BEN,8770700288,0.17558001,0.05985,0.03818,3362599936.0,3088100096.0,1701299968.0,94900000.0
FCX,26001999872,0.28055,0.07969,0.14538999,9297999872.0,4318000128.0,9562000384.0,319000000.0
GRMN,6943124992,0.25795,0.22625999,0.19655001,198571008.0,2539630080.0,1967053056.0,
IT,6459774976,0.15773,0.1371,1.0925701,2850041088.0,1430729984.0,1313932032.0,131046000.0
GE,43949998080,0.20598,0.18344,0.42131,21920999424.0,13109000192.0,11264000000.0,986000000.0
GEHC,20245999616,0.14213,0.10945,0.24450001,10744000512.0,4004999936.0,3625999872.0,505000000.0
GEV,37669998592,0.05738,0.045229997,0.16723,1080000000.0,7544999936.0,2935000064.0,
GEN,4472999936,0.36475,0.12743,0.25027,8771000320.0,691000000.0,1944000000.0,578000000.0
GNRC,4352443904,0.0925,0.06921,0.11969,1487428992.0,300008992.0,684027008.0,89713000.0
GD,51508998144,0.10459,0.081829995,0.17782,9875999744.0,2520000000.0,6240000000.0,393000000.0
GIS,19156000768,0.15602,0.15241,0.30866,14407000064.0,952899968.0,3759699968.0,548800000.0
GM,187435008000,0.056739997,0.01625,0.04442,133683003392.0,21902000128.0,15704999936.0,846000000.0
GPC,24060899328,0.0643,0.0336,0.16994,6398441984.0,431359008.0,1930909056.0,96827000.0
GILD,29087000576,0.45231,0.27882,0.40706003,24941000704.0,8489999872.0,14136000512.0,977000000.0
GPN,10076184576,0.3184,0.17365,0.07233,16260109312.0,2603046912.0,4384649216.0,633986000.0
GL,5940974080,0.34092999,0.19363001,0.22277,3141361920.0,365540000.0,1621281024.0,127092000.0
GDDY,4869799936,0.23884001,0.17013,3.69454,3871399936.0,983000000.0,1218400000.0,158300000.0
GS,57336999936,0.37203997,0.29073998,0.13532,731217985536.0,1010356977664.0,,73341000000.0
HAL,22136999936,0.12857,0.05913,0.12788,8567000064.0,2026000000.0,4195000064.0,450000000.0
HIG,27917000704,0.18916,0.12745,0.20069,4368000000.0,4369999872.0,4866999808.0,199000000.0
HAS,4357000192,0.24584,-0.12814,-0.62839,3346299904.0,620600000.0,1048899968.0,171200000.0
HCA,74371997696,0.15474,0.0853,,46349000704.0,1091000064.0,15100999680.0,2061000000.0
DOC,2801097984,0.18601999,-0.01359,-0.00115,9442980864.0,98780000.0,1512803968.0,280430000.0
HSIC,12938000384,0.0614,0.03022,0.08347999,3440999936.0,136000000.0,1011000000.0,131000000.0
HSY,11489094656,0.13542,0.118360005,0.31013,5740420096.0,1163016960.0,2450479104.0,174317000.0
HPE,33074999296,0.05495,0.03773,0.05356,23725000704.0,3904999936.0,4755999744.0,117000000.0
HLT,4870000128,0.60327,0.34188998,,12350999552.0,1057000000.0,2737999872.0,569000000.0
HOLX,4100499968,0.25479,0.13796,0.11116,2507899904.0,2202700032.0,1291900032.0,
HD,165054005248,0.14478,0.08863,1.9395399,61920002048.0,2804000000.0,25603000320.0,2321000000.0
HON,40669999104,0.18505,0.1507,0.34616002,38215000064.0,13358999552.0,9777999872.0,1058000000.0
HRL,12058590208,0.08015,0.06257,0.09442,2856904960.0,630668992.0,1291505024.0,80894000.0
HST,5950000128,0.073520005,0.12403,0.109239995,5642999808.0,539000000.0,1603000064.0,215000000.0
HWM,7975000064,0.25658,0.18181999,0.30064,3352000000.0,663000000.0,2244999936.0,182000000.0
HPQ,54711001088,0.06008,0.048249997,,10775000064.0,2871000064.0,4602999808.0,607000000.0
HUBB,5686199808,0.22591,0.15123,0.24991,2149700096.0,680899968.0,1350400000.0,73800000.0
HUM,126362001408,0.02043,0.01022,0.07159,12949000192.0,22123999232.0,3860999936.0,660000000.0
HBAN,7502000128,0.38561,0.29619,0.10434,17927000064.0,13523999744.0,,4576000000.0
HII,12012000256,0.06172,0.04737,0.12387,2926000128.0,312000000.0,1062000000.0,95000000.0
IBM,65401999360,0.1717,0.120900005,0.30156,66568998912.0,14855000064.0,17767000064.0,1712000000.0
IEX,3421299968,0.21418,0.13974,0.12197,1929699968.0,593800000.0,917200000.0,44500000.0
IDXX,4167410944,0.32106,0.24654,0.64633006,1112962944.0,208166000.0,1437280000.0,31205000.0
ITW,15882999808,0.27667,0.19052,0.91683,8942000128.0,924000000.0,4592999936.0,283000000.0
INCY,4813105152,0.31633,0.24695,0.30389,41267000.0,2929819904.0,1324280064.0,2280000.0
IR,7458299904,0.20476,0.07309,0.05382,4852299776.0,1192800000.0,1970899968.0,213200000.0
PODD,2521799936,0.16664,0.097629994,0.19679001,1075600000.0,757400000.0,510900000.0,42700000.0
INTC,53439000576,0.06284,0.0037099998,0.0018600001,46553001984.0,30934999040.0,10437000192.0,1034000000.0
ICE,9749999616,0.49067003,0.32431,0.114930004,19509000192.0,850000000.0,6071000064.0,910000000.0
IFF,11072000000,0.091309994,-0.042630002,-0.03232,6689999872.0,621000000.0,1748749952.0,305000000.0
IP,24334000128,-0.03375,-0.05256,-0.042779997,10645999616.0,995000000.0,2016000000.0,430000000.0
IPG,8739500032,0.16834,0.06245,0.14948,4144900096.0,1531200000.0,1713500032.0,229900000.0
INTU,18830999552,0.15697,0.20546,0.20285,,,5591000064.0,247000000.0
ISRG,9612000256,0.30326,0.28577998,0.16902,0.0,4908800000.0,3411899904.0,
IVZ,6278099968,0.16514,0.16691,0.06904,1624600064.0,973100032.0,1257500032.0,58000000.0
INVH,2689620992,0.27131,0.21805,0.06,8280316928.0,171612992.0,1478686976.0,366070000.0
IQV,15904000000,0.13976,0.08067001,0.19374001,15239999488.0,1972000000.0,2926000128.0,670000000.0
IRM,6639848960,0.20792,0.02398,,18803380224.0,195452992.0,2233931008.0,736231000.0
JBHT,12048818176,0.07948,0.04753,0.15126,1897753984.0,52290000.0,1566736000.0,79020000.0
JBL,29802000384,0.05841,0.022049999,0.40381,3732000000.0,1960000000.0,2120000000.0,147000000.0
JKHY,2419044096,0.28549,0.19865,0.2345,68886000.0,36239000.0,658918976.0,10438000.0
J,11835288576,0.08728,0.04161,0.084230006,3004278016.0,1293307008.0,1246553984.0,169058000.0
JNJ,92148998144,0.30200002,0.27259,0.33619,45795000320.0,18562000896.0,31921999872.0,755000000.0
JCI,23595999232,0.10416,0.13947,0.11374,11189999616.0,379000000.0,3521999872.0,227000000.0
JPM,167228997632,0.43708,0.347,0.16437,1148076032000.0,1411027042304.0,,101350000000.0
K,12670000128,0.15031,0.10079,0.32112,6232000000.0,246000000.0,2291000064.0,311000000.0
KVUE,15006000128,0.19288,0.0955,0.13469,9109000192.0,1139000064.0,3540999936.0,431000000.0
KDP,16174000128,0.23107,0.09781,0.06291,18630000640.0,516000000.0,4298999808.0,735000000.0
KEY,5934000128,0.33839,0.18115999,0.058179997,12903000064.0,3140000000.0,,4662000000.0
KEYS,5242999808,0.18121,0.103760004,0.09982,2764000000.0,2636000000.0,1192999936.0,84000000.0
KMB,19723999232,0.16699,0.09983,1.3688201,7341000192.0,617000000.0,3910000128.0,270000000.0
KIM,2123057024,0.34331,0.28243,0.056700002,8355115008.0,159339008.0,1299628032.0,307806000.0
